Gene	Day0_1	Day0_2	Pre-treat_	Pre-treat_	Pre-treat_	Pre-treat_	Doxy_1	Doxy_2	Doxy_3	Doxy_4	Nodrug_1	Nodrug_2	INH_1	INH_2	INH_3	INH_4	RIF-1	RIF-2	RIF-3	PZA_1	PZA_2	PZA_3	PZA_4	HRZE_1	HRZE_2	HRZE_3	HRZE_4
H37RV_BC02	1329	122	441	1166	1716	2088	1599	593	401	864	254	152	127	187	138	172	45	67	48	150	175	334	137	206	37	185	126
H37RV_BC04	763542	4175	57267	225998	296661	202234	261464	70197	83635	102852	21119	18852	18502	8661	14012	11233	6467	4629	4250	18551	15232	14073	18213	23515	9596	18752	9637
Rv0002.DnaN	154	43720	363	22635	287	279	4132	3333	2371	2877	7460	6558	11666	9172	11322	9448	7314	6716	5353	11335	10288	9650	6072	3747	5669	4667	5206
Rv0005.GyrB	4	3	12	1		4	5	2		2	4		6	3	7	8	2	3	1		1	1		1	4	5	3
Rv0006.GyrA	15	13	93	7	5	35	15	27	8	10	9	11	17	12	4	8	10	2	5		1	3	3	4	15	11	6
Rv0013.trpG	17184	22297	7375	17305	22897	24312	69633	62765	33498	48098	47626	50541	30799	23292	26514	24833	13936	14568	16531	64532	32871	44579	57941	50641	37605	51599	35609
Rv0015c.pknA	1594	915	3	250										1													
Rv0018c.P38-pstP	6			4	1	2	1	1	4	1	4	9	7	22	15	14	5	1	4	12	2	20				4	1
Rv0020c.TB39.8	115	17987	275	14990	786	1000	628	495	584	778	910	1015	3219	2931	1717	1926	359	328	298	468	1272	493	3902	2415	816	571	1924
Rv0023.Rv0023	1	352	6	103	9	28	199	546	95	247	243	396	531	688	198	692	388	372	445	72	117	65	637	34	8	98	4
Rv0041.leuS	614201	6391	17670	92078	214745	73221	95621	29190	21612	45754	9427	6421	2430	4058	5653	4857	5316	4404	2477	5547	3870	10465	3	5556	2280	5876	3370
Rv0046c.ino1	8	6	32	8	3	12	7	16	3	6	1		7	8	2	4	36	3	2		1	1			1	2	
Rv0060.Rv0060	2	1	21	4	2	3	3	4	1	10	1	4	5	4	2	1		1			1			3	4	2	1
Rv0066c.icd2	130	536	30	409	47	87	184	550	282	164	1060	878	3038	2664	2718	4081	2162	1870	3471	463	208	719	701	244	38	111	41
Rv0112.gca	8401	7157	1962	3591	4612	7768	14099	14816	7982	8968	14911	17328	10539	8930	10507	13036	6921	7001	8894	21704	10722	10724	48217	28015	16745	14698	14561
Rv0118c.oxcA	6489	9482	2414	5152	5037	9159	15666	18182	7021	10954	15618	17437	12325	12766	10805	10774	7419	8034	10094	24725	12458	16357	13264	21425	13983	14843	16767
Rv0119.fadD7	1072	7563	1172	3684	2826	4521	7394	11209	4534	6035	6811	9056	9150	5733	6610	10343	5053	6795	8106	8784	5018	15771	5275	17216	9178	14482	8794
Rv0127.mak	2	1236	18	5332	1928	2531	6335	1836	3326	1451	3637	7179	4373	7913	2439	5668	592	476	497	7984	4932	3106	2045	32179	5451	18352	2597
Rv0164.TB18.5	1			1		2			2		1		5	1													
Rv0198c.zmp1	5983	67573	10646	39280	15811	29800	14724	12026	7638	10009	17823	16103	32299	20589	29121	27977	13332	13404	11441	23208	28284	28742	24909	25756	19065	13526	28809
Rv0204c.Rv0204c		2	26	5		5	1	5		1		9	14	7	2	3		1			1	2	1	1	5		
Rv0206c.mmpL3	1	12	30	3	1	6	10	8	2	12	3	4	12	1	3	4	1				4		1		3	2	3
Rv0224c.Rv0224c	42572	7392	619	3542	3869	3930	4772	6688	4508	3906	7805	9962	7288	9572	7344	7344	6353	7102	6906	15190	4277	10126	19434	8608	5471	11357	7485
Rv0225.Rv0225	794	1701	357	2264	2146	4156	10260	9262	4961	4860	8605	9553	7888	6423	4809	5512	4100	4031	3561	11845	7054	9369	6298	5618	4213	6775	8305
Rv0226c.Rv0226c	253	4446	1250	3293	2541	8351	10314	10757	6896	6246	10153	13672	8670	6267	6106	6354	6283	5642	6710	14684	7070	11285	12237	7083	7980	11267	8167
Rv0228.Rv0228	1297	7050	1542	4929	4498	8818	15910	19735	8468	11904	21966	19812	15543	12055	12244	14273	8190	10241	9323	24229	12946	22762	20422	30232	9495	26694	14268
Rv0236c.aftD	1243	10031	1295	4841	5642	8258	9365	9656	6793	7524	8663	13252	12683	8914	13526	12639	5725	6468	5998	17075	7022	15075	19273	23040	10384	16667	16321
Rv0248c.Rv0248c		26	347	603	462	703	1340	561	231	3160	380	454	111	1205	586	182	186	376	335		49		1	1115	384	2488	3677
Rv0260c.Rv0260c		1120	144	3695	374	386	6270	1272	715	1018	2090	1391	1253	516	1229	823	1015	338	1277	1613	854	3488	448	977	472	591	597
Rv0283.Rv0283	773	1487	433	1692	1618	3375	2633	4252	2818	3301	5198	6007	5201	5125	5991	8393	3330	4213	4501	7860	3546	8412	7416	5558	8710	7316	6353
Rv0285.PE5	1652	6482	2189	4039	6413	5766	8809	10008	6154	6186	12162	11401	8671	7073	9387	8274	6556	6638	7282	11161	6614	11912	10855	14623	13417	15192	9954
Rv0286.PPE4	726	886	1027	866	380	1694	2954	3441	2517	2241	3053	4736	4329	1451	3269	2394	2208	2237	2263	11399	8862	13773	12678	631	1990	6377	2121
Rv0287.esxG	1		8			1					3		6	1	2	1											
Rv0289.Rv0289	4909	5793	2060	5040	5738	9461	17092	18669	13631	12719	17736	16819	11590	8423	14281	9866	11985	9830	9509	24041	14829	27703	46864	23176	12099	16972	16597
Rv0291.mycP3	7699	15610	8710	12035	21830	31834	105779	53808	39221	56384	23585	35928	23033	15324	21608	18067	13795	14994	19867	50201	34998	36166	95133	49291	24610	43091	29166
Rv0292.Rv0292	704	6312	64	2187	443	1017	8758	10605	5527	10099	9463	13351	7128	8769	6258	6419	6261	6052	7393	15137	9848	18473	13961	7256	4129	10133	5914
Rv0327c.cyp135A1	3147	2303	1241	3797	3816	6824	7904	8119	5255	5464	11556	12848	10916	9758	10077	12013	6790	7790	8710	11097	7249	14038	13566	16948	6854	10441	9731
Rv0338c.Rv0338c	1		3			2	1		1	3						2	1									2	
Rv0347.Rv0347	1454	5013	530	3120	3145	3801	6588	7894	5093	4712	9917	9752	10796	5392	8363	10592	5968	6106	6467	11178	5066	14511	17080	13734	7961	12185	11981
Rv0364.Rv0364	40	1455	79	1322	207	362	2038	2663	1431	2539	2733	3041	1403	842	1224	2106	671	599	845	1978	1478	3585	1543	895	1009	1102	1092
Rv0373c.Rv0373c	2848	13759	15229	53125	43317	53782	48449	30046	18743	31661	26942	29640	35572	20079	28248	30987	20319	16828	21198	41863	18889	37412	22921	25457	18898	21669	30354
Rv0404.fadD30	9	172	44	587	53	34	366	240	250	285	680	103	708	41	46	1	34	115	1		39	148		3	1	110	2
Rv0410c.PknG	1		7		34	66	25	4	2	49		10			13		38						3			9	
Rv0412c.Rv0412c			43	165	37	236	16	14	55	54	8	3		54	16	159	15	41	69		10		64			28	
Rv0414c.thiE	1	46	13	48	8	11	352	3090	838	487	2899	3171	7468	7450	7657	12059	8448	9546	13346	307	119	216	154	4	9	599	25
Rv0415.thiO	4	444	12	344	16	56	1024	2151	1394	787	3782	5144	4839	3852	5311	5209	5235	4870	7087	3785	847	1950	3301	518	289	2968	329
Rv0417.thiG	2	1	20		1	1	6	12	3	3	4	2	5	4		3			2			2		4	3	1	4
Rv0423c.thiC	1		6	1			2	4								1	1										
Rv0429c.def	908	10902	4773	9659	9365	12384	24414	13930	11080	13998	12743	15532	16707	13180	12062	12562	5689	4656	3547	7109	3253	4716	10968	26251	19850	29854	22297
Rv0431.Rv0431	381	3311	1701	2886	9030	6492	12330	6330	4473	5059	8915	9096	7332	5193	7277	6931	7742	6892	4887	8387	5860	11303	16591	6733	5069	9509	8846
Rv0455c.Rv0455c	630	4587	1267	2962	3513	6202	10284	9213	4772	7872	11659	13634	12033	6540	9032	10245	5550	6255	5437	16792	8001	10839	16623	19194	9118	13617	10678
Rv0479c.Rv0479c	269	7644	1053	4139	4407	7401	16607	10468	10809	7892	18949	22949	14778	7520	12783	15751	10396	12691	13348	19588	12971	18010	18337	28250	17052	18292	16677
Rv0504c.Rv0504c	785	2242	103	1909	749	1088	1856	1797	1221	776	4920	5361	3288	2907	2452	3156	1740	1957	2211	2390	2434	2330	4688	2797	2970	4162	1738
Rv0507.mmpL2	6386	4944	3367	11650	26578	16301	28978	11303	6287	21967	7858	7581	7205	2905	6236	6910	6739	7132	5365	15870	8626	19883	12021	12393	4983	9851	6475
Rv0509.hemA	5	2	1				1	1									1						1	1	2		
Rv0512.hemB	3	41	23	61	2	16	189	822	383	238	198	301	5856	1941	1210	2422	833	1017	1798	46	11	11	38	2	1	402	7
Rv0524.hemL	214	4383	782	2984	3856	7908	28677	21284	14851	19321	14920	16475	24622	22657	23854	25998	9763	9188	9491	9477	6376	8072	8800	12652	3432	17316	8659
Rv0525.Rv0525	71	3883	69	1216	305	724	2050	3776	1646	1402	3682	5094	39	254	98	41	1606	1979	2163	6372	2999	9701	3745	6654	2708	3344	2603
Rv0526.Rv0526	8043	7427	879	3355	2105	4772	8345	8315	4106	8226	6301	8693	6026	5009	5482	7751	3506	3998	4717	7428	5777	11800	8032	12097	7321	10624	8921
Rv0528.Rv0528	647	607	2138	1169	6249	3765	60162	31551	25459	52500	7838	18295	6886	4330	4256	6367	1117	1523	2804	10639	7498	10346	9454	295	1928	8621	1653
Rv0534c.menA	1820	3572	474	2771	2001	3789	6918	7265	4724	5410	7975	6363	4000	4818	3530	6739	5699	5416	6405	12179	7720	15769	10633	5151	5434	9456	6403
Rv0548c.menB	595758	1038188	196242	645426	556407	573914	142329	110785	114504	174436	253221	230152	694420	487370	564761	579044	355847	318795	248597	431965	457233	496669	310303	282041	349755	124063	390904
Rv0553.menC	2	1	26	1		1	5	5	4	4	10	2	7	10	3	2	2						2			2	1
Rv0555.menD	5342	15270	5656	7019	17472	21913	25088	25461	12633	16007	18697	28918	22330	12229	15138	14919	11292	11120	13031	36521	14488	21267	19261	31175	22862	23240	18039
Rv0558.menH	6	6501	7588	15871	16457	12649	41512	18787	11691	16447	12962	13604	11865	3745	5198	4477	5415	4714	4459	17639	7791	11857	2969	7738	15163	12408	11227
Rv0636.hadB	61	2371	17	1187	97	107	4265	6150	2944	3979	7289	7397	2137	3484	1523	2759	570	195	816	3213	3599	8570	3322	539	673	3590	957
Rv0640.rplK	1852	12838	923	5413	4239	6243	28488	26866	13301	17638	27858	31330	26885	15569	15723	19022	12409	12688	13637	28941	20318	42749	27630	27514	22328	28135	23677
Rv0684.fusA1	5926	14128	2284	6930	7937	10796	12225	18376	9086	8810	19719	23740	27639	18774	16484	18202	11110	11624	13467	31268	13512	26785	23954	16081	11578	18794	14682
Rv0697.Rv0697	5156	5083	1949	4957	6153	9982	15390	16497	9127	9438	17193	16339	18585	16887	13485	18114	11395	9951	14785	24212	12070	24843	26245	19763	12998	20502	16300
Rv0701.rplC	2	32	15	65	9	26	3768	5666	4709	3963	3680	4675	4859	3587	2116	3858	2423	2417	2215	751	508	684	545	46	70	858	106
Rv0702.rplD	2	388	46	242	12	35	1233	4238	1287	1386	6005	13900	7645	5182	2847	4101	2608	2410	4785	6845	2226	3401	7305	2789	1602	11826	2027
Rv0703.rplW	1	1133	37	421	54	97	1330	2305	993	941	4593	5106	3149	2126	2040	2026	1983	1348	1822	3955	3114	3266	7067	9675	6160	5795	3926
Rv0706.rplV	829	5363	367	2215	1178	1820	62530	53041	29180	43285	33437	50809	22868	19072	15176	13719	11696	11607	11718	36026	20837	41883	30040	11761	10476	38029	8069
Rv0707.rpsC	313	4561	94	1530	566	1747	3595	8576	4831	3859	8657	15903	14092	14376	17900	13118	26956	24948	26340	6156	4008	6080	8614	7438	6275	16001	5842
Rv0708.rplP		41	8	76	4	1	168	538	308	294	2015	3364	4087	4223	5137	4892	6743	6246	5143	2093	862	1802	3303	160	96	1971	295
Rv0709.rpmC			4	1		1	2018	1		1	1		6		2												
Rv0710.rpsQ		13		1					3	1		14	163	196	107	158	314	255	204	1				13		7	1
Rv0716.rplE		4	5	1	1	1	85	201	125	177	220	270	79	27	42	69	5	6	41	51	42	2	33		1	6	5
Rv0718.rpsH	2		2		1				2					2													
Rv0721.rpsE	11	493	29	226	169	298	84	159	228	160	946	972	4584	2414	2797	2979	2900	2489	2886	311	276	587	1004	518	282	876	622
Rv0732.secY		43	16	16		26	1	118	2	1925	259	1	1	2	64	60	16	15	4		1	489		1			
Rv0733.adk			6		4	63	36	205	20	14	50	25			38	1	26	26	1		8		729	1		226	154
Rv0780.purC	5		49	3	2	21	12	19	3	5		1	7	3	2	3	5	7	2		1	2	2	1	1		
Rv0787A.Rv0787A	3	9	7	3	2	3	4	3	4	8	4	1	9	3	3	1	6	2	1				1		5	5	4
Rv0788.PurQ	1		6	1		2	1	1		1	2			5		2											1
Rv0803.purL	1		6			5	4	4	2	1	1	1	7	1			1	1	1						1		
Rv0809.purM	4	2	55	2	2	7	5	5	4	5	2	8	10	15	3	4	1	1	2	2		3	1	1	4	1	
Rv0811c.Rv0811	1	1633	122	1392	451	953	4125	5093	1816	2115	4737	6160	2789	2768	3578	3143	1658	1275	2020	4858	1981	3009	4754	2660	2521	3588	1273
Rv0817c.Rv0817c	1198	77721	2689	41033	5258	6717	2156	2115	1077	1380	4193	2853	29316	26592	20260	29016	3576	2988	3207	3402	2944	8736	6118	6215	3388	1608	4405
Rv0824c.desA1	6	7	32	11	8	15	16	15	8	9	7	4	12	17	3	3	4	4		1	3	1	1	1	10	1	3
Rv0902c.prrB	1	3	9	2	1		1	4	2	3	2	2	2	5	2	3							1	1	1		1
Rv0913c.Rv0913c	9436	11932	2240	6657	7626	8632	13081	15387	10922	12909	20048	19586	25762	14999	17593	19083	13003	12233	12783	25749	13488	29294	19669	22255	19450	22681	13765
Rv0938.ligD	2	3	26	2	4	3	3	5		4	1	1	3	4	2	3		1	1			1			1	1	
Rv0949.UvrD1	177	4224	446	3076	66	228	732	1028	412	527	1447	1605	2789	1998	2816	4185	1507	1399	1269	503	1236	712	1194	895	535	903	527
Rv0951.sucC	19237	15693	25786	19277	57848	49422	110358	53427	29651	73875	40052	60850	29036	19447	15419	23584	6879	6560	9427	24766	21607	23858	22008	86225	38257	85814	66015
Rv0973c.accA2	2358	6568	2843	10889	5655	8025	11247	12097	11645	12701	11868	15238	8482	7584	9524	10391	7354	7549	9042	14005	10395	18719	5569	13165	17759	16445	16308
Rv0974c.accD2	214798	7979	6844	19981	60996	33954	28685	10452	9629	11081	5098	6530	5085	3966	4468	5623	2467	2120	2144	934	2619	3533	6939	12231	7872	9129	8060
Rv0982.mprB	1	6	48	4		3	5	6	3	2	11	7	15	7	4	15	6	1	1	1		1	1	4		2	
Rv1015c.rplY	145	416	11	336	277	54	329	624	811	380	1673	2640	8949	7260	7648	10210	5253	5587	6085	2040	952	1797	2658	1966	905	1313	1043
Rv1018c.glmU	1	1		2	3	3	2			3				2									1				
Rv1044.Rv1044	56	1360	50	711	99	95	234	889	273	400	1518	2366	3409	1101	1332	1446	1081	913	1979	783	659	1416	915	4934	419	1163	638
Rv1076.lipU	4037	6415	1170	4830	3855	7454	8485	12518	7328	8953	16572	14430	14723	14846	13182	13103	11409	10970	11604	26021	12485	25340	21097	19890	14816	28872	20377
Rv1078.pra	225	1740	1214	3832	4976	8462	5773	4367	4862	6018	4502	7534	8814	5134	8685	5260	3835	2714	5330	6145	5376	18071	11794	6003	6989	8446	5496
Rv1094.desA2	222	194	123	540	254	529	2080	1153	483	1074	622	1389	439	988	410	625	578	621	665	2333	1307	3259	579	1339	467	698	919
Rv1111c.Rv1111c		334		60		2	4	29		12	23	6	17		18			3	2		2						
Rv1133c.metE	4	11	25	4	2	4		13	5	7	1	2	3	2	2	5	4			1			3		9	4	7
Rv1187.rocA	1472	7064	1044	4898	3297	6751	9401	10228	5763	7085	15513	18069	14970	10348	13123	15091	10148	9320	9605	16617	11093	18514	15793	24151	5402	18957	12769
Rv1202.dapE	576	10376	79	4418	483	402	5892	12703	3893	6718	8975	9822	26464	25839	25648	29747	9296	7494	10224	7674	2892	3999	2329	965	68	5518	998
Rv1208.gpgS	3	3	16	3		3	1	1	2		3		7	1		3			1				1	1	4		1
Rv1240.P38-mdh	1	6		5		2	44	59	30	56	78	92	59	76	50	84	23	49	35	42	14	30	7	9	1	106	10
Rv1254.Rv1254	373	8821	1988	5045	5914	10022	16140	15161	8627	11154	20202	19884	16043	11642	12240	13487	11179	10105	9159	19975	10872	24861	16528	16776	15127	21030	15786
Rv1293.lysA	2		7	1		1		6			1		3			3											
Rv1300.hemK	10611	68416	25066	52412	35153	57211	48342	22945	10385	23703	20619	19751	28831	17571	27671	25954	12403	12634	10851	15947	34081	37712	23515	20260	22183	11870	28462
Rv1302.rfe	2106	12177	948	5633	3611	5319	16278	16963	11189	13574	18345	19083	13211	11957	7677	12810	5578	4535	6976	17015	9923	18521	10966	19150	6987	14664	10055
Rv1304.atpB	385	3823	439	3576	1391	2709	5449	9409	5697	4611	10954	13112	10669	12068	8574	8485	6221	7252	5303	13695	6460	8180	11760	11590	7322	16015	8264
Rv1307.atpH	13	11288	289	3026	144	230	7051	14821	6543	6405	27527	23239	18575	17846	15998	21593	10376	8708	9666	18993	8812	15371	18752	26039	9816	20975	12190
Rv1308.atpA	2		6	1		3	2	10	1		3	5	1	8	1		1	7					2	1	16		540
Rv1309.atpG	193	9659	97	3645	291	801	11578	14163	7128	8367	15017	14882	13565	9997	11613	12469	7678	7475	11259	13684	11464	19396	8242	13437	6001	19517	14972
Rv1326c.glgB	57	158	20	165	30	52	722	2606	1154	1082	529	720	1617	2050	2639	2934	4672	5217	7039	266	131	173	214	195	77	2146	289
Rv1342c.Rv1342c	4476	6406	4016	5314	10392	15990	22446	10232	6077	13258	8443	7965	4689	7118	6886	8674	3464	3458	4043	8430	4191	8273	7437	5495	4698	8606	8952
Rv1343c.lprD	1		27	2	3	4	5	3	3	3	7	2	5	7		1				1		1	1		1		2
Rv1348.Rv1348	1066	2702	175	2305	222	445	741	1224	668	611	952	849	4332	3640	3194	3330	1217	1669	1908	2216	316	845	1279	836	1270	4183	2024
Rv1382.Rv1382	8330	3758	550	2291	2514	4256	662	1568	1362	982	1238	870	9195	6184	4142	7066	9032	9081	9855	611	372	458	565	3795	2085	4262	2800
Rv1408.rpe	185	2929	15	1113	2	10	7	36	5	5	24	44	420	1017	468	1059	74	45	36	24	4	1	129			49	4
Rv1420.uvrC	28	1993	15	953	49	201	100	892	411	545	3120	3565	11424	8388	11108	13064	6580	5784	6465	2257	874	1490	1982	3867	1271	3884	2299
Rv1456c.Rv1456c	5269	12061	2182	4591	5196	8899	15367	16477	8725	13996	19541	22434	14074	16410	12396	14973	11684	12595	13874	24127	19384	29394	14307	24544	21721	22455	21656
Rv1457c.Rv1457c	1	941	1803	1600	3242	5368	5510	2328	1373	3957	1355	2930	418	58	49	97	10	9	4	130	1746	2817	31		1633	2105	1876
Rv1459c.Rv1459c	377	25479	360	11647	631	2072	1992	2442	948	1662	3612	4329	7747	3546	5057	4533	2163	2127	1985	7345	5214	5780	1996	3809	2528	943	1457
Rv1462.Rv1462	64	490	31	353	57	170	27278	26943	20454	21806	23422	21551	10702	7145	9732	11929	7329	6426	10840	5484	2732	3695	2457	45	34	15755	749
Rv1464.csd	1121	760	582	476	955	610	1882	519	554	1206	223	237	344	720	241	491	135	145	201	40	29	60	30	200	418	950	278
Rv1465.Rv1465	14436	20120	10078	10232	17697	24806	42518	31348	16026	34343	10961	10730	2719	3056	4562	7388	2876	2525	3932	12156	6033	8114	10425	15813	8270	57740	10084
Rv1476.Rv1476	219	6702	380	4048	2885	2577	22091	20223	15077	17774	17936	17436	16842	16883	13087	15489	12789	10606	12994	20907	10589	17409	18095	27659	19892	22555	19155
Rv1479.moxR1	1		2	1	1	4				1				2			1								1		
Rv1480.Rv1480	4317	15175	124	9975	873	1849	2117	2685	2241	2186	3740	4390	3975	4923	3498	6250	1250	983	1573	3327	1828	3323	2778	1994	1005	1936	1105
Rv1485.hemZ	1771	1084	291	1004	608	1537	2499	2931	820	1213	2739	2727	3109	2773	1957	2869	1504	1755	1269	2820	1805	2232	3238	3511	2624	6838	4074
Rv1490.Rv1490	4499	10443	3120	7509	6506	12578	19738	17175	9094	11813	18263	26685	21875	15676	16294	16989	10055	12679	12591	33200	13550	25882	17619	33295	11448	27431	22579
Rv1522c.mmpL12	4550	7522	3023	7642	7792	12314	20909	20867	11340	11872	23714	26566	21726	13915	17729	18769	11103	12912	10902	22147	16306	25719	21283	16948	10984	30319	22618
Rv1525.wbbL2	1282	11808	1843	5621	4419	9913	16689	17439	9112	11726	21059	24274	12808	12169	10293	17620	9705	11137	11967	17539	11796	16404	18395	17986	11302	19725	17249
Rv1547.DnaE1	2	2	9	1		1		4		1			5	3	2	5									1		
Rv1576c.Rv1576c	1863	5867	1061	2492	2306	5805	7127	6172	4621	5547	8079	9943	7789	6517	7845	6753	5276	4385	3813	7388	5227	9857	13578	13722	10752	8616	5671
Rv1595.nadB	20	40	6	38	4	48	3455	6982	3939	2430	4900	6513	4530	3905	5201	3778	6376	6372	6293	1246	379	204	1117	22	5	377	41
Rv1596.nadC	27055	84974	6636	46340	12711	37743	20148	16683	8337	12629	18597	20315	34455	32732	29770	30591	14111	15031	13077	23806	36966	31814	20109	18152	13913	10338	28659
Rv1599.hisD	22182	126534	32665	70099	43279	82807	27912	19945	11378	16321	31095	28570	51290	40624	46932	43353	23213	22811	18669	30245	52227	44026	24779	34159	29542	16750	40218
Rv1600.hisC1	52	31	929	66	59	46	52	99	51	286	116	109	441	190	173	137	35	62	62	27	22	28	15	36	41	97	161
