Gene	Day0_1	Day0_2	Pre-treat_1	Pre-treat_2	Pre-treat_3	Pre-treat_4	Doxy_1	Doxy_2	Doxy_3	Doxy_4	Nodrug_1	Nodrug_2	Nodrug_3	INH_1	INH_2	INH_3	INH_4	RIF_1	RIF_2	RIF_3	RIF_4	PZA_1	PZA_2	HRZE_1	HRZE_2	HRZE_3	HRZE_4
H37RV_BC02	154	190	163	147	237	101	115	577	263	382	344	418	526	138	161	239	96	248	177	92	206	181	131	127	206	93	89
H37RV_BC04	21041	43652	16610	18279	19775	12379	52641	109082	28999	56822	41693	47581	55250	17134	10584	15125	11683	15367	14419	11835	15129	24209	25968	13246	18217	15314	11800
Rv0002.DnaN	17174	1286	15781	17533	15602	14794	6332	7496	6635	11455	1398	1382	6161	5334	11298	4993	4952	10541	8007	6404	7572	9645	3001	2790	4452	4148	4974
Rv0005.GyrB	6	8			3	3	30	12	4	4	7	4	9	3	3	2		2		1	12	1					20
Rv0006.GyrA	5102	57	16813	18151	17487	14588	74	67	143	109	1083	1335	4534	859	11623	1410	728	11550	9776	8451	7766	268	7	3219	4639	4353	4778
Rv0013.trpG	13548	510	13197	17268	15609	17507	11343	10222	19686	24937	8857	8729	8236	9644	14426	12534	10046	14478	12760	16102	17722	32311	36940	11453	23076	13668	16504
Rv0015c.pknA	484	81		4				2				1						2	2								1
Rv0018c.P38-pstP	5		5	1		6				3			2	3	9	1	1	5	2	7				2	10	10	4
Rv0020c.TB39.8	32929	2787	18741	13364	22335	11373	8943	17615	11491	15755	2635	1715	8131	7255	6369	13426	8533	6403	4541	3329	4549	14871	2	6412	8696	15773	8992
Rv0023.Rv0023	533	41	948	825	941	453	246	332	517	469	828	304	474	380	987	533	371	498	879	462	1628	167	166	611	55	456	215
Rv0041.leuS	12099	700	17473	16234	13464	16452	11810	10774	17561	17507	9299	8669	8191	10543	10961	10226	9297	13457	12443	14435	17239	29686	13547	22417	24826	19780	15648
