Gene	Day0	Day0_1	Day0_2	Pre-treat_1	Pre-treat_2	Pre-treat_3	Pre-treat_4	Doxy_1	Doxy_2	Doxy_3	Doxy_4	Nodrug_1	Nodrug_1	Nodrug_2	Nodrug_3	INH_1	INH_2	INH_3	INH_4	RIF_1	RIF_2	RIF_3	RIF_4	PZA_1	PZA_2	PZA_3	PZA_4	HRZE_1	HRZE_2	HRZE_3
H37RV_BC02	74	43	49	178	370	277	209	219	132	166	162	159	214	166	169	107	157	110	177	93	203	219	273	208	30	107	79	325	207	198
H37RV_BC04	9388	7904	8810	33884	29825	19920	15698	28855	16667	33162	19110	12781	25570	17216	17661	14979	17457	9325	19329	17348	17996	19614	56155	15746	12777	15607	8056	35449	23428	35744
Rv0002.DnaN	10689	16613	629	13809	225	7690	10961	4209	12822	4111	11160	6946	5459	7373	6233	7712	8721	12070	10206	8150	15384	7368	7069	5812	10437	7090	5617	4581	8024	3716
Rv0005.GyrB	135	26	9	91	3	443	93	7298	6360	9633	24421	12929	15673	9204	8802	3229	2535	1488	2989	7728	15731	8169	8747	5689	2751	2470	2410	5047	6976	9323
Rv0006.GyrA	18275	30358	1391	10448	263	26919	7453	6776	23609	6886	19328	11346	8626	10823	7971	9714	14844	10408	11809	8921	19064	10697	13992	6507	4040	5298	4941	13809	11664	11894
Rv0013.trpG	2206	4906	97	8844	168	4263	6509	1832	6945	2703	6127	4885	4857	4474	6382	4782	9426	9567	7088	5487	6886	4304	4532	10757	6423	5800	5486	1202	2664	2528
Rv0015c.pknA	590	1071	82	0	0	0	4	1	0	1	1	17	3	2	0	2	0	3	0	0	1	4	1	0	0	0	0	0	0	1
Rv0018c.P38-pstP	3	0	0	4	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
Rv0020c.TB39.8	25260	24577	3658	21910	632	11055	21603	3906	16875	6552	13324	8930	6395	8420	9094	6702	14074	10934	11623	8569	13983	8750	12712	9100	6891	6396	15892	37244	11224	12460
Rv0023.Rv0023	94	0	9	33	0	90	79	54	93	188	297	525	856	346	384	213	281	228	929	293	354	511	537	175	296	125	130	1073	218	164
Rv0041.leuS	18	6	6	12	8	19	11	809	136	1355	3408	3493	5440	1562	2036	1692	3503	1920	2579	1977	4272	2950	1625	1394	831	200	360	174	282	681
Rv0046c.ino1	1783	3326	113	1539	56	1468	1863	1267	4437	1511	4814	3484	3280	4317	4857	5352	5104	2748	4154	3028	7494	3873	2925	5944	5381	4770	3178	5148	5655	2721
Rv0060.Rv0060	3294	4710	360	7265	557	5849	5126	2801	9964	4065	10670	7916	11493	9797	9136	9519	7860	6593	6347	6017	12003	7520	5036	14072	6662	7563	7520	7489	7387	5115
Rv0066c.icd2	955	2394	173	1853	49	1159	1844	967	2173	2472	4428	2711	3947	4012	4066	4398	8444	7430	6001	2887	4616	3633	2764	5276	4380	4425	4485	3612	1723	2042
Rv0112.gca	2535	5004	231	8394	145	5180	7263	2492	9195	3148	9193	6005	9287	7711	7407	8422	9001	5435	8370	3865	6562	6553	5872	8773	9704	6761	4804	8864	3440	3797
Rv0118c.oxcA	1652	5	103	5495	103	4196	3552	1291	5235	2752	7226	2685	3355	5138	3909	4114	3475	2809	5812	3763	5325	3105	3925	4724	4979	3938	3020	2731	4679	2309
Rv0119.fadD7	981	2103	50	3978	61	1888	3230	1134	3589	1334	4068	1944	1818	2044	2663	3645	3408	5353	2914	2344	3145	2741	2044	5042	3328	3574	1577	2930	3676	1806
Rv0123.Rv0123	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Rv0127.mak	2	1	0	0	0	1	2	25	6	2	7	54	0	5	0	2	1	4	1	1	4	1	0	0	1	0	0	1	0	1
Rv0164.TB18.5	43	22	4	6	2	9	22	111	92	168	566	536	388	658	310	923	1312	1363	404	429	718	698	409	1050	986	494	528	97	25	44
Rv0198c.zmp1	18463	27392	2012	37778	822	20459	22803	7433	28965	6843	20148	16051	11814	16048	11195	17604	19162	12792	20615	15370	22994	14630	16675	13479	14890	10632	10300	16429	12410	8964
Rv0204c.Rv0204c	2709	3033	432	7941	555	3613	7191	1789	5959	3592	4895	5398	4802	6272	7424	5463	7336	8469	5722	4716	7198	4967	4811	9733	5754	4511	6724	5491	3205	4665
Rv0206c.mmpL3	1171	111	121	2401	49	885	826	348	1771	284	809	850	271	832	437	683	1408	1073	1283	695	867	811	849	554	1484	932	527	164	94	588
Rv0224c.Rv0224c	837	1930	11	867	3	166	656	3535	841	1170	633	532	445	864	550	2736	5088	3630	5312	608	1122	753	368	4061	2456	1972	2091	620	254	195
Rv0225.Rv0225	1159	2489	175	4800	74	2346	2767	935	2531	1360	3221	2696	4035	2663	3140	3040	2672	401	2783	1854	3711	2427	2801	5084	3431	3454	2684	2236	1641	851
Rv0226c.Rv0226c	1602	4495	76	6717	94	2566	4115	1001	4297	2197	6962	4016	5434	4369	3229	2965	6156	2956	4001	3625	5341	3107	3207	5917	3476	5256	4007	5722	2407	2838
Rv0227c.Rv0227c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rv0228.Rv0228	2360	2129	176	8505	77	4770	5636	1984	7205	2919	9488	9576	8646	6009	6173	6408	7504	8023	9492	5170	8087	9114	5096	6957	5401	6686	5772	8350	2996	3452
Rv0236c.aftD	952	1360	165	3338	39	833	1557	406	2100	922	2327	1183	1125	1343	1734	1811	3802	1074	2708	1383	1128	1930	1322	1851	2115	1367	825	215	2755	873
Rv0248c.Rv0248c	1	0	0	0	0	1	1	61	3	0	0	5	1	0	0	6	0	3	5	4	5	1	1	1	0	1	1	0	1	0
Rv0260c.Rv0260c	26	2	6	3	2	1	0	102	18	58	1	28	0	0	1	1	318	3	0	0	251	1	0	0	0	0	1	0	0	0
Rv0282.Rv0282	478	415	28	1162	107	2188	961	2815	10861	6079	12147	7066	8968	7825	9278	4702	7142	9364	5316	4899	10184	7173	6251	16721	10476	8872	9660	5980	7260	4678
Rv0283.Rv0283	517	3	32	2004	18	832	1341	348	1564	752	1517	1212	1044	1458	1247	2236	3796	1969	1331	1109	1790	1529	996	1670	1919	2048	1460	2423	1028	1601
Rv0284.Rv0284	2	1	1	0	0	0	2	0	1	0	2	32	1	1	0	0	1	0	1	0	0	0	2	0	1	0	0	0	0	0
Rv0285.PE5	1363	1137	47	2339	88	1034	1751	690	2661	1114	2501	1133	2016	2272	1448	2626	1798	2980	1643	1564	3701	1787	1894	2692	2972	2149	2762	4464	1455	1203
Rv0286.PPE4	884	946	47	2531	54	1464	1950	468	2961	1428	3562	1524	1370	1670	1859	2316	3396	868	1375	1085	2423	2047	1703	4423	2182	4452	2521	3676	2232	1618
Rv0287.esxG	1051	2794	32	2334	36	1016	1618	232	1399	1085	1745	1617	895	1632	1192	1169	1518	2577	1431	1245	1929	738	1148	3433	1096	2019	1335	4206	1501	460
Rv0289.Rv0289	408	1767	44	1733	52	819	2082	806	1450	910	2771	1548	1609	1315	889	1109	314	1456	958	1681	1458	1229	1362	1497	2108	2302	1203	1546	1508	1145
Rv0291.mycP3	2174	4764	146	4775	154	3638	4572	1466	5089	2566	5509	4677	4783	5209	4350	5030	5503	3312	4673	4234	7460	4390	4088	5907	5300	5715	4703	6787	3806	2191
Rv0292.Rv0292	1306	2374	59	4255	78	1897	3108	1084	3561	2109	3755	4023	2777	3498	3175	4097	4863	6862	2563	3346	4282	2571	3531	6946	3586	3949	3138	8481	775	1843
Rv0327c.cyp135A1	2216	4389	136	6072	64	2618	5044	1341	5436	1637	4370	3461	4526	4644	4817	8795	10066	5173	6258	4560	5276	4752	3722	7001	5967	5765	6288	4226	5396	3302
Rv0337c.aspC	57	6	0	0	5	137	2	19	122	622	297	40	8	90	16	68	407	1254	164	0	195	189	105	108	36	4	28	52	392	159
Rv0338c.Rv0338c	46	19	89	73	47	458	97	1336	277	1465	2938	4511	6678	1352	1217	617	1248	457	751	849	3471	1602	1734	867	248	338	187	218	1025	1037
Rv0347.Rv0347	1484	2347	41	3003	27	1768	2400	865	3457	1833	4186	3359	3492	3423	3958	3348	3533	3766	4390	3010	3101	2562	3347	4165	4724	3722	3904	657	2671	4282
Rv0350.dnaK	0	1	1	0	0	0	0	5	0	0	0	46	2	1	1	2	0	0	2	0	2	2	5	0	0	0	0	0	1	0
