Gene	Day0_1	Day0_2	Day0_3	Pre-treat_1	Pre-treat_2	Pre-treat_3	Pre-treat_4	Doxy_1	Doxy_2	Doxy_3	Doxy_4	Nodrug_1	Nodrug_2	Nodrug_3	Nodrug_4	INH_1	INH_2	INH_3	INH_4	RIF_1	RIF_2	RIF_3	RIF_4	PZA_1	PZA_2	PZA_3	HRZE_1	HRZE_2	HRZE_3	HRZE_4
H37RV_BC02	1484	133	72	503	1183	803	1382	146	385	219	223	305	526	270	324	142	136	120	177	81	199	191	266	250	503	413	130	152	211	127
H37RV_BC04	260604	16959	17228	44982	168436	147789	164073	38562	57309	20966	24764	60224	72842	27988	40426	12061	13621	12014	11867	24775	11593	15391	25821	28803	61088	81559	12600	20391	23350	16178
Rv0002.DnaN	4802	16802	29306	38873	2562	17420	24291	7319	17702	18696	15452	10487	9024	15600	9331	10698	20274	17309	18809	15286	19433	17956	19614	5092	7053	7571	14236	17896	10955	10359
Rv0005.GyrB	5	388	376	599	18	828	1559	99833	61136	34940	27141	8647	13580	16873	14919	3578	5966	5450	7681	7159	13022	12690	13987	4569	4069	1578	141	127	311	142
Rv0006.GyrA	897	36343	43658	59249	1292	26316	30336	37145	64507	54092	41193	23408	23311	35104	25956	23396	42090	33622	35397	21694	33549	29348	32195	3263	12075	17190	22678	22714	20577	24810
Rv0013.trpG	2303	927	5137	17728	2481	9786	7560	16341	19621	14217	13929	10750	8995	14399	7825	6066	13204	10997	7957	8702	10927	9742	8908	30794	23463	18867	13703	9753	17584	13776
Rv0020c.TB39.8	33317	40192	50285	65022	11183	32541	14753	11142	27678	27362	25882	18829	18564	31537	19121	17662	26483	23977	14977	16684	17468	15234	18823	17062	11901	22672	29999	46027	27228	41450
Rv0023.Rv0023	36	150	658	350	26	124	121	2251	2657	1689	2265	1282	2000	1523	2530	554	529	821	529	1113	2758	1861	2147	182	228	590	267	82	90	177
Rv0041.leuS	38	4253	23	2647	245	267	1816	2202	4032	985	1486	2209	2397	1487	2020	682	706	1183	381	1967	7774	6574	3361	15	11	229	4	129	5	145
Rv0046c.ino1	76	1233	709	178	45	47	200	5903	5390	4632	6189	4871	4744	8420	6919	5475	10964	6524	5969	6606	8201	7414	6033	1668	3942	1526	231	426	1114	940
Rv0060.Rv0060	67	1785	2332	1359	249	858	1730	9232	9717	8954	9556	6286	8067	10073	8287	4182	5159	5096	5763	5657	8690	10386	5978	5724	8273	5684	669	304	1104	1146
Rv0066c.icd2	1341	1471	829	580	280	725	361	1318	3420	1804	3264	3758	2928	4961	4527	3072	4223	2936	3632	2965	4127	4096	3200	854	166	1006	934	470	1824	1128
Rv0112.gca	588	2743	4763	10682	1656	5573	4765	13921	9246	8692	9201	7379	7326	9246	9368	7397	12861	8067	9044	7256	7489	5992	5904	13386	16619	13865	8135	5993	3873	5388
Rv0118c.oxcA	1478	2779	3279	9157	2598	4323	4328	8052	12146	10386	9972	6755	5622	10066	10158	6616	9697	6563	7826	8955	9772	7469	5531	13788	11604	19764	7653	7530	8855	9386
Rv0119.fadD7	1363	2094	2229	6245	1515	3310	3839	8647	8827	10203	8600	5370	4929	6975	8972	5393	7169	4725	6790	5935	7737	5552	6563	9114	10842	8718	8235	3239	5717	4252
Rv0127.mak	0	52	1898	351	30	34	34	8	4	23	11	15	12	53	35	998	3074	2323	1807	429	640	252	280	116	4	9	842	443	352	1051
Rv0164.TB18.5	1	201	34	95	8	10	2	124	323	197	454	498	417	677	645	427	340	720	260	814	1869	957	1212	0	1	15	5	0	18	28
Rv0198c.zmp1	1462	1467	3906	11045	893	6572	5518	11435	9081	11511	10690	7816	6411	8586	7005	7066	12897	7347	7993	6197	7972	9086	6416	11107	12890	19872	8521	9103	11653	8294
Rv0204c.Rv0204c	18781	1833	2758	8342	8676	9651	13456	7911	10928	7112	6899	7702	6121	8591	8203	6109	11275	7259	6740	6430	8853	5483	6576	12880	19684	16318	6949	4214	6452	6767
Rv0206c.mmpL3	15010	23070	35290	47416	7428	22103	24845	14732	29590	30054	22707	15964	11909	24795	17318	17196	24523	19569	23128	19958	28987	20017	22235	8214	9278	10513	17870	13988	13499	14230
