GeneID,PathwayID,PathwayName
Rv0066c,mtb001,2-Oxocarboxylic acid metabolism 
Rv0189c,mtb001,2-Oxocarboxylic acid metabolism 
Rv0337c,mtb001,2-Oxocarboxylic acid metabolism 
Rv0428c,mtb001,2-Oxocarboxylic acid metabolism 
Rv0462,mtb001,2-Oxocarboxylic acid metabolism 
Rv0889c,mtb001,2-Oxocarboxylic acid metabolism 
Rv0896,mtb001,2-Oxocarboxylic acid metabolism 
Rv1131,mtb001,2-Oxocarboxylic acid metabolism 
Rv1248c,mtb001,2-Oxocarboxylic acid metabolism 
Rv1475c,mtb001,2-Oxocarboxylic acid metabolism 
Rv1652,mtb001,2-Oxocarboxylic acid metabolism 
Rv1653,mtb001,2-Oxocarboxylic acid metabolism 
Rv1654,mtb001,2-Oxocarboxylic acid metabolism 
Rv1655,mtb001,2-Oxocarboxylic acid metabolism 
Rv2210c,mtb001,2-Oxocarboxylic acid metabolism 
Rv2215,mtb001,2-Oxocarboxylic acid metabolism 
Rv2241,mtb001,2-Oxocarboxylic acid metabolism 
Rv2454c,mtb001,2-Oxocarboxylic acid metabolism 
Rv2455c,mtb001,2-Oxocarboxylic acid metabolism 
Rv2495c,mtb001,2-Oxocarboxylic acid metabolism 
Rv2496c,mtb001,2-Oxocarboxylic acid metabolism 
Rv2497c,mtb001,2-Oxocarboxylic acid metabolism 
Rv2747,mtb001,2-Oxocarboxylic acid metabolism 
Rv2987c,mtb001,2-Oxocarboxylic acid metabolism 
Rv2988c,mtb001,2-Oxocarboxylic acid metabolism 
Rv2995c,mtb001,2-Oxocarboxylic acid metabolism 
Rv3001c,mtb001,2-Oxocarboxylic acid metabolism 
Rv3002c,mtb001,2-Oxocarboxylic acid metabolism 
Rv3003c,mtb001,2-Oxocarboxylic acid metabolism 
Rv3339c,mtb001,2-Oxocarboxylic acid metabolism 
Rv3470c,mtb001,2-Oxocarboxylic acid metabolism 
Rv3509c,mtb001,2-Oxocarboxylic acid metabolism 
Rv3708c,mtb001,2-Oxocarboxylic acid metabolism 
Rv3709c,mtb001,2-Oxocarboxylic acid metabolism 
Rv3710,mtb001,2-Oxocarboxylic acid metabolism 
Rv0167,mtb002,ABC transporters 
Rv0168,mtb002,ABC transporters 
Rv0169,mtb002,ABC transporters 
Rv0170,mtb002,ABC transporters 
Rv0171,mtb002,ABC transporters 
Rv0172,mtb002,ABC transporters 
Rv0173,mtb002,ABC transporters 
Rv0174,mtb002,ABC transporters 
Rv0194,mtb002,ABC transporters 
Rv0587,mtb002,ABC transporters 
Rv0588,mtb002,ABC transporters 
Rv0589,mtb002,ABC transporters 
Rv0591,mtb002,ABC transporters 
Rv0592,mtb002,ABC transporters 
Rv0593,mtb002,ABC transporters 
Rv0594,mtb002,ABC transporters 
Rv0655,mtb002,ABC transporters 
Rv0820,mtb002,ABC transporters 
Rv0928,mtb002,ABC transporters 
Rv0929,mtb002,ABC transporters 
Rv0930,mtb002,ABC transporters 
Rv0932c,mtb002,ABC transporters 
Rv0933,mtb002,ABC transporters 
Rv0934,mtb002,ABC transporters 
Rv0935,mtb002,ABC transporters 
Rv0936,mtb002,ABC transporters 
Rv1235,mtb002,ABC transporters 
Rv1236,mtb002,ABC transporters 
Rv1237,mtb002,ABC transporters 
Rv1238,mtb002,ABC transporters 
Rv1273c,mtb002,ABC transporters 
Rv1280c,mtb002,ABC transporters 
Rv1281c,mtb002,ABC transporters 
Rv1282c,mtb002,ABC transporters 
Rv1283c,mtb002,ABC transporters 
Rv1348,mtb002,ABC transporters 
Rv1349,mtb002,ABC transporters 
Rv1620c,mtb002,ABC transporters 
Rv1621c,mtb002,ABC transporters 
Rv1819c,mtb002,ABC transporters 
Rv1857,mtb002,ABC transporters 
Rv1858,mtb002,ABC transporters 
Rv1859,mtb002,ABC transporters 
Rv1964,mtb002,ABC transporters 
Rv1965,mtb002,ABC transporters 
Rv1966,mtb002,ABC transporters 
Rv1967,mtb002,ABC transporters 
Rv1968,mtb002,ABC transporters 
Rv1969,mtb002,ABC transporters 
Rv1970,mtb002,ABC transporters 
Rv1971,mtb002,ABC transporters 
Rv2038c,mtb002,ABC transporters 
Rv2325c,mtb002,ABC transporters 
Rv2397c,mtb002,ABC transporters 
Rv2398c,mtb002,ABC transporters 
Rv2399c,mtb002,ABC transporters 
Rv2400c,mtb002,ABC transporters 
Rv2686c,mtb002,ABC transporters 
Rv2687c,mtb002,ABC transporters 
Rv2688c,mtb002,ABC transporters 
Rv2832c,mtb002,ABC transporters 
Rv2833c,mtb002,ABC transporters 
Rv2834c,mtb002,ABC transporters 
Rv2835c,mtb002,ABC transporters 
Rv3101c,mtb002,ABC transporters 
Rv3102c,mtb002,ABC transporters 
Rv3494c,mtb002,ABC transporters 
Rv3495c,mtb002,ABC transporters 
Rv3496c,mtb002,ABC transporters 
Rv3497c,mtb002,ABC transporters 
Rv3498c,mtb002,ABC transporters 
Rv3499c,mtb002,ABC transporters 
Rv3500c,mtb002,ABC transporters 
Rv3501c,mtb002,ABC transporters 
Rv3663c,mtb002,ABC transporters 
Rv3664c,mtb002,ABC transporters 
Rv3665c,mtb002,ABC transporters 
Rv3666c,mtb002,ABC transporters 
Rv3756c,mtb002,ABC transporters 
Rv3757c,mtb002,ABC transporters 
Rv3758c,mtb002,ABC transporters 
Rv3759c,mtb002,ABC transporters 
Rv3781,mtb002,ABC transporters 
Rv3783,mtb002,ABC transporters 
Rv0334,mtb003,Acarbose and validamycin biosynthesis 
Rv3464,mtb003,Acarbose and validamycin biosynthesis 
Rv3468c,mtb003,Acarbose and validamycin biosynthesis 
Rv3784,mtb003,Acarbose and validamycin biosynthesis 
Rv0234c,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv0337c,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv0357c,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv0777,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv0788,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv0808,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv1187,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv1380,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv1383,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv1384,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv1538c,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv1595,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv1658,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv1659,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv1731,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv1878,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv2201,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv2220,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv2222c,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv2476c,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv2589,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv2780,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv2860c,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv3432c,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv3436c,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv3858c,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv3859c,mtb003,"Alanine, aspartate and glutamate metabolism "
Rv2790c,mtb004,alpha-Linolenic acid metabolism 
Rv0112,mtb005,Amino sugar and nucleotide sugar metabolism 
Rv0237,mtb005,Amino sugar and nucleotide sugar metabolism 
Rv0322,mtb005,Amino sugar and nucleotide sugar metabolism 
Rv0482,mtb005,Amino sugar and nucleotide sugar metabolism 
Rv0501,mtb005,Amino sugar and nucleotide sugar metabolism 
Rv0620,mtb005,Amino sugar and nucleotide sugar metabolism 
Rv0650,mtb005,Amino sugar and nucleotide sugar metabolism 
Rv0806c,mtb005,Amino sugar and nucleotide sugar metabolism 
Rv0946c,mtb005,Amino sugar and nucleotide sugar metabolism 
Rv0993,mtb005,Amino sugar and nucleotide sugar metabolism 
Rv1018c,mtb005,Amino sugar and nucleotide sugar metabolism 
Rv1213,mtb005,Amino sugar and nucleotide sugar metabolism 
Rv1315,mtb005,Amino sugar and nucleotide sugar metabolism 
Rv1511,mtb005,Amino sugar and nucleotide sugar metabolism 
Rv1512,mtb005,Amino sugar and nucleotide sugar metabolism 
Rv2702,mtb005,Amino sugar and nucleotide sugar metabolism 
Rv3068c,mtb005,Amino sugar and nucleotide sugar metabolism 
Rv3255c,mtb005,Amino sugar and nucleotide sugar metabolism 
Rv3257c,mtb005,Amino sugar and nucleotide sugar metabolism 
Rv3264c,mtb005,Amino sugar and nucleotide sugar metabolism 
Rv3308,mtb005,Amino sugar and nucleotide sugar metabolism 
Rv3332,mtb005,Amino sugar and nucleotide sugar metabolism 
Rv3436c,mtb005,Amino sugar and nucleotide sugar metabolism 
Rv3441c,mtb005,Amino sugar and nucleotide sugar metabolism 
Rv3634c,mtb005,Amino sugar and nucleotide sugar metabolism 
Rv3809c,mtb005,Amino sugar and nucleotide sugar metabolism 
Rv0041,mtb006,Aminoacyl-tRNA biosynthesis 
Rv1007c,mtb006,Aminoacyl-tRNA biosynthesis 
Rv1292,mtb006,Aminoacyl-tRNA biosynthesis 
Rv1406,mtb006,Aminoacyl-tRNA biosynthesis 
Rv1536,mtb006,Aminoacyl-tRNA biosynthesis 
Rv1640c,mtb006,Aminoacyl-tRNA biosynthesis 
Rv1649,mtb006,Aminoacyl-tRNA biosynthesis 
Rv1650,mtb006,Aminoacyl-tRNA biosynthesis 
Rv1689,mtb006,Aminoacyl-tRNA biosynthesis 
Rv2357c,mtb006,Aminoacyl-tRNA biosynthesis 
Rv2448c,mtb006,Aminoacyl-tRNA biosynthesis 
Rv2555c,mtb006,Aminoacyl-tRNA biosynthesis 
Rv2572c,mtb006,Aminoacyl-tRNA biosynthesis 
Rv2580c,mtb006,Aminoacyl-tRNA biosynthesis 
Rv2614c,mtb006,Aminoacyl-tRNA biosynthesis 
Rv2845c,mtb006,Aminoacyl-tRNA biosynthesis 
Rv2992c,mtb006,Aminoacyl-tRNA biosynthesis 
Rv3009c,mtb006,Aminoacyl-tRNA biosynthesis 
Rv3011c,mtb006,Aminoacyl-tRNA biosynthesis 
Rv3012c,mtb006,Aminoacyl-tRNA biosynthesis 
Rv3336c,mtb006,Aminoacyl-tRNA biosynthesis 
Rv3580c,mtb006,Aminoacyl-tRNA biosynthesis 
Rv3598c,mtb006,Aminoacyl-tRNA biosynthesis 
Rv3834c,mtb006,Aminoacyl-tRNA biosynthesis 
Rv1070c,mtb007,Aminobenzoate degradation 
Rv1263,mtb007,Aminobenzoate degradation 
Rv1472,mtb007,Aminobenzoate degradation 
Rv2363,mtb007,Aminobenzoate degradation 
Rv2486,mtb007,Aminobenzoate degradation 
Rv2888c,mtb007,Aminobenzoate degradation 
Rv2922A,mtb007,Aminobenzoate degradation 
Rv3039c,mtb007,Aminobenzoate degradation 
Rv3078,mtb007,Aminobenzoate degradation 
Rv3083,mtb007,Aminobenzoate degradation 
Rv3175,mtb007,Aminobenzoate degradation 
Rv3375,mtb007,Aminobenzoate degradation 
Rv3854c,mtb007,Aminobenzoate degradation 
Rv0129c,mtb008,Arabinogalactan biosynthesis 
Rv0236c,mtb008,Arabinogalactan biosynthesis 
Rv1302,mtb008,Arabinogalactan biosynthesis 
Rv1886c,mtb008,Arabinogalactan biosynthesis 
Rv2673,mtb008,Arabinogalactan biosynthesis 
Rv3265c,mtb008,Arabinogalactan biosynthesis 
Rv3779,mtb008,Arabinogalactan biosynthesis 
Rv3782,mtb008,Arabinogalactan biosynthesis 
Rv3792,mtb008,Arabinogalactan biosynthesis 
Rv3794,mtb008,Arabinogalactan biosynthesis 
Rv3795,mtb008,Arabinogalactan biosynthesis 
Rv3804c,mtb008,Arabinogalactan biosynthesis 
Rv3805c,mtb008,Arabinogalactan biosynthesis 
Rv3808c,mtb008,Arabinogalactan biosynthesis 
Rv0147,mtb009,Arginine and proline metabolism 
Rv0223c,mtb009,Arginine and proline metabolism 
Rv0500,mtb009,Arginine and proline metabolism 
Rv0768,mtb009,Arginine and proline metabolism 
